Date,Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
1-Jan-21,2.39
2-Jan-21,2.4
3-Jan-21,2.36
4-Jan-21,2.6
5-Jan-21,2.77
6-Jan-21,2.76
7-Jan-21,2.81
8-Jan-21,2.77
11-Jan-21,2.71
12-Jan-21,2.89
13-Jan-21,2.82
14-Jan-21,2.82
15-Jan-21,2.86
19-Jan-21,2.65
20-Jan-21,2.57
21-Jan-21,2.49
22-Jan-21,2.45
25-Jan-21,2.63
26-Jan-21,2.73
27-Jan-21,2.77
28-Jan-21,2.76
29-Jan-21,2.68
1-Feb-21,2.88
2-Feb-21,3.24
3-Feb-21,3.01
4-Feb-21,2.99
5-Feb-21,3.49
8-Feb-21,3.4
9-Feb-21,3.35
10-Feb-21,3.76
11-Feb-21,6.5
12-Feb-21,6.12
16-Feb-21,11.32
17-Feb-21,23.86
18-Feb-21,8.56
19-Feb-21,4.96
22-Feb-21,3.16
23-Feb-21,2.94
24-Feb-21,2.8
25-Feb-21,2.72
26-Feb-21,2.66
1-Mar-21,2.7
2-Mar-21,2.87
3-Mar-21,2.86
4-Mar-21,2.79
5-Mar-21,2.72
8-Mar-21,2.67
9-Mar-21,2.62
10-Mar-21,2.62
11-Mar-21,2.7
12-Mar-21,2.65
15-Mar-21,2.58
16-Mar-21,2.5
17-Mar-21,2.6
18-Mar-21,2.45
19-Mar-21,2.53
22-Mar-21,2.55
23-Mar-21,2.56
24-Mar-21,2.56
25-Mar-21,2.52
26-Mar-21,2.52
29-Mar-21,2.58
30-Mar-21,2.55
31-Mar-21,2.52
1-Apr-21,2.52
5-Apr-21,2.43
6-Apr-21,2.44
7-Apr-21,2.43
8-Apr-21,2.47
9-Apr-21,2.48
12-Apr-21,2.5
13-Apr-21,2.57
14-Apr-21,2.65
15-Apr-21,2.62
16-Apr-21,2.63
19-Apr-21,2.75
20-Apr-21,2.76
21-Apr-21,2.72
22-Apr-21,2.77
23-Apr-21,2.79
26-Apr-21,2.73
27-Apr-21,2.91
28-Apr-21,2.98
29-Apr-21,2.91
30-Apr-21,2.86
3-May-21,2.96
4-May-21,3
5-May-21,2.99
6-May-21,2.9
7-May-21,2.9
10-May-21,2.93
11-May-21,2.91
12-May-21,2.91
13-May-21,2.95
14-May-21,2.95
17-May-21,2.99
18-May-21,2.96
19-May-21,2.88
20-May-21,2.86
21-May-21,2.84
24-May-21,2.78
25-May-21,2.87
26-May-21,2.91
27-May-21,2.85
28-May-21,2.91
1-Jun-21,3.02
2-Jun-21,3.09
3-Jun-21,3.01
4-Jun-21,3.01
7-Jun-21,2.98
8-Jun-21,3.11
9-Jun-21,3.13
10-Jun-21,3.13
11-Jun-21,3.23
14-Jun-21,3.36
15-Jun-21,3.31
16-Jun-21,3.25
17-Jun-21,3.24
18-Jun-21,3.23
21-Jun-21,3.15
22-Jun-21,3.21
23-Jun-21,3.36
24-Jun-21,3.3
25-Jun-21,3.4
28-Jun-21,3.62
29-Jun-21,3.75
30-Jun-21,3.79
1-Jul-21,3.76
2-Jul-21,3.67
6-Jul-21,3.68
7-Jul-21,3.66
8-Jul-21,3.56
9-Jul-21,3.71
12-Jul-21,3.7
13-Jul-21,3.78
