Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/20/2024,01:00,N,HB_BUSAVG,29.10
01/20/2024,01:00,N,HB_HOUSTON,28.06
01/20/2024,01:00,N,HB_HUBAVG,30.10
01/20/2024,01:00,N,HB_NORTH,28.99
01/20/2024,01:00,N,HB_PAN,30.53
01/20/2024,01:00,N,HB_SOUTH,25.68
01/20/2024,01:00,N,HB_WEST,37.69
01/20/2024,01:00,N,LZ_AEN,29.24
01/20/2024,01:00,N,LZ_CPS,31.83
01/20/2024,01:00,N,LZ_HOUSTON,28.03
01/20/2024,01:00,N,LZ_LCRA,30.48
01/20/2024,01:00,N,LZ_NORTH,28.88
01/20/2024,01:00,N,LZ_RAYBN,28.86
01/20/2024,01:00,N,LZ_SOUTH,25.37
01/20/2024,01:00,N,LZ_WEST,53.29
01/20/2024,02:00,N,HB_BUSAVG,29.14
01/20/2024,02:00,N,HB_HOUSTON,28.16
01/20/2024,02:00,N,HB_HUBAVG,30.46
01/20/2024,02:00,N,HB_NORTH,28.54
01/20/2024,02:00,N,HB_PAN,29.52
01/20/2024,02:00,N,HB_SOUTH,26.01
01/20/2024,02:00,N,HB_WEST,39.15
01/20/2024,02:00,N,LZ_AEN,29.85
01/20/2024,02:00,N,LZ_CPS,32.74
01/20/2024,02:00,N,LZ_HOUSTON,28.25
01/20/2024,02:00,N,LZ_LCRA,31.30
01/20/2024,02:00,N,LZ_NORTH,28.42
01/20/2024,02:00,N,LZ_RAYBN,28.37
01/20/2024,02:00,N,LZ_SOUTH,25.38
01/20/2024,02:00,N,LZ_WEST,56.03
01/20/2024,03:00,N,HB_BUSAVG,30.13
01/20/2024,03:00,N,HB_HOUSTON,28.88
01/20/2024,03:00,N,HB_HUBAVG,31.52
01/20/2024,03:00,N,HB_NORTH,29.70
01/20/2024,03:00,N,HB_PAN,31.33
01/20/2024,03:00,N,HB_SOUTH,26.19
01/20/2024,03:00,N,HB_WEST,41.34
01/20/2024,03:00,N,LZ_AEN,30.11
01/20/2024,03:00,N,LZ_CPS,32.63
01/20/2024,03:00,N,LZ_HOUSTON,28.95
01/20/2024,03:00,N,LZ_LCRA,31.10
01/20/2024,03:00,N,LZ_NORTH,29.61
01/20/2024,03:00,N,LZ_RAYBN,29.54
01/20/2024,03:00,N,LZ_SOUTH,25.47
01/20/2024,03:00,N,LZ_WEST,59.34
01/20/2024,04:00,N,HB_BUSAVG,32.60
01/20/2024,04:00,N,HB_HOUSTON,31.24
01/20/2024,04:00,N,HB_HUBAVG,33.98
01/20/2024,04:00,N,HB_NORTH,32.20
01/20/2024,04:00,N,HB_PAN,34.02
01/20/2024,04:00,N,HB_SOUTH,28.42
01/20/2024,04:00,N,HB_WEST,44.07
01/20/2024,04:00,N,LZ_AEN,32.39
01/20/2024,04:00,N,LZ_CPS,35.40
01/20/2024,04:00,N,LZ_HOUSTON,31.23
01/20/2024,04:00,N,LZ_LCRA,33.75
01/20/2024,04:00,N,LZ_NORTH,32.26
01/20/2024,04:00,N,LZ_RAYBN,32.12
01/20/2024,04:00,N,LZ_SOUTH,27.92
01/20/2024,04:00,N,LZ_WEST,62.89
01/20/2024,05:00,N,HB_BUSAVG,39.21
01/20/2024,05:00,N,HB_HOUSTON,38.12
01/20/2024,05:00,N,HB_HUBAVG,40.60
01/20/2024,05:00,N,HB_NORTH,38.79
01/20/2024,05:00,N,HB_PAN,40.05
01/20/2024,05:00,N,HB_SOUTH,35.27
01/20/2024,05:00,N,HB_WEST,50.23
01/20/2024,05:00,N,LZ_AEN,39.69
01/20/2024,05:00,N,LZ_CPS,43.57
01/20/2024,05:00,N,LZ_HOUSTON,38.26
01/20/2024,05:00,N,LZ_LCRA,41.55
01/20/2024,05:00,N,LZ_NORTH,39.06
01/20/2024,05:00,N,LZ_RAYBN,38.66
01/20/2024,05:00,N,LZ_SOUTH,35.02
01/20/2024,05:00,N,LZ_WEST,68.23
01/20/2024,06:00,N,HB_BUSAVG,49.48
01/20/2024,06:00,N,HB_HOUSTON,47.14
01/20/2024,06:00,N,HB_HUBAVG,50.79
01/20/2024,06:00,N,HB_NORTH,49.69
01/20/2024,06:00,N,HB_PAN,51.15
01/20/2024,06:00,N,HB_SOUTH,43.69
01/20/2024,06:00,N,HB_WEST,62.65
01/20/2024,06:00,N,LZ_AEN,52.92
01/20/2024,06:00,N,LZ_CPS,55.06
01/20/2024,06:00,N,LZ_HOUSTON,47.89
01/20/2024,06:00,N,LZ_LCRA,56.47
01/20/2024,06:00,N,LZ_NORTH,50.51
01/20/2024,06:00,N,LZ_RAYBN,49.70
01/20/2024,06:00,N,LZ_SOUTH,43.19
01/20/2024,06:00,N,LZ_WEST,81.15
01/20/2024,07:00,N,HB_BUSAVG,80.60
01/20/2024,07:00,N,HB_HOUSTON,77.71
01/20/2024,07:00,N,HB_HUBAVG,81.50
01/20/2024,07:00,N,HB_NORTH,82.53
01/20/2024,07:00,N,HB_PAN,84.67
01/20/2024,07:00,N,HB_SOUTH,69.84
01/20/2024,07:00,N,HB_WEST,95.92
01/20/2024,07:00,N,LZ_AEN,89.48
01/20/2024,07:00,N,LZ_CPS,83.46
01/20/2024,07:00,N,LZ_HOUSTON,78.71
01/20/2024,07:00,N,LZ_LCRA,101.88
01/20/2024,07:00,N,LZ_NORTH,84.44
01/20/2024,07:00,N,LZ_RAYBN,83.46
01/20/2024,07:00,N,LZ_SOUTH,68.39
01/20/2024,07:00,N,LZ_WEST,114.47
01/20/2024,08:00,N,HB_BUSAVG,88
01/20/2024,08:00,N,HB_HOUSTON,84.42
01/20/2024,08:00,N,HB_HUBAVG,88.09
01/20/2024,08:00,N,HB_NORTH,91.04
01/20/2024,08:00,N,HB_PAN,92.12
01/20/2024,08:00,N,HB_SOUTH,76.45
01/20/2024,08:00,N,HB_WEST,100.44
01/20/2024,08:00,N,LZ_AEN,101.65
01/20/2024,08:00,N,LZ_CPS,93.49
01/20/2024,08:00,N,LZ_HOUSTON,85.94
01/20/2024,08:00,N,LZ_LCRA,116.37
01/20/2024,08:00,N,LZ_NORTH,94.17
01/20/2024,08:00,N,LZ_RAYBN,93.75
01/20/2024,08:00,N,LZ_SOUTH,72.51
01/20/2024,08:00,N,LZ_WEST,114.48
01/20/2024,09:00,N,HB_BUSAVG,54.11
01/20/2024,09:00,N,HB_HOUSTON,53.15
01/20/2024,09:00,N,HB_HUBAVG,53.84
01/20/2024,09:00,N,HB_NORTH,56.07
01/20/2024,09:00,N,HB_PAN,56.65
01/20/2024,09:00,N,HB_SOUTH,47.71
01/20/2024,09:00,N,HB_WEST,58.42
01/20/2024,09:00,N,LZ_AEN,63.42
01/20/2024,09:00,N,LZ_CPS,53.92
01/20/2024,09:00,N,LZ_HOUSTON,54.06
01/20/2024,09:00,N,LZ_LCRA,73.62
01/20/2024,09:00,N,LZ_NORTH,58.60
01/20/2024,09:00,N,LZ_RAYBN,57.46
01/20/2024,09:00,N,LZ_SOUTH,46.23
01/20/2024,09:00,N,LZ_WEST,62.75
01/20/2024,10:00,N,HB_BUSAVG,31.63
01/20/2024,10:00,N,HB_HOUSTON,31.37
01/20/2024,10:00,N,HB_HUBAVG,31.55
01/20/2024,10:00,N,HB_NORTH,32.16
01/20/2024,10:00,N,HB_PAN,32.34
01/20/2024,10:00,N,HB_SOUTH,30.04
01/20/2024,10:00,N,HB_WEST,32.63
01/20/2024,10:00,N,LZ_AEN,34.59
01/20/2024,10:00,N,LZ_CPS,32.65
01/20/2024,10:00,N,LZ_HOUSTON,31.98
01/20/2024,10:00,N,LZ_LCRA,34.79
01/20/2024,10:00,N,LZ_NORTH,33.45
01/20/2024,10:00,N,LZ_RAYBN,32.39
01/20/2024,10:00,N,LZ_SOUTH,29.07
01/20/2024,10:00,N,LZ_WEST,32.91
01/20/2024,11:00,N,HB_BUSAVG,27.32
01/20/2024,11:00,N,HB_HOUSTON,27.39
01/20/2024,11:00,N,HB_HUBAVG,27.28
01/20/2024,11:00,N,HB_NORTH,27.66
01/20/2024,11:00,N,HB_PAN,27.84
01/20/2024,11:00,N,HB_SOUTH,26.22
01/20/2024,11:00,N,HB_WEST,27.85
01/20/2024,11:00,N,LZ_AEN,27.84
01/20/2024,11:00,N,LZ_CPS,27.87
01/20/2024,11:00,N,LZ_HOUSTON,27.47
01/20/2024,11:00,N,LZ_LCRA,27.86
01/20/2024,11:00,N,LZ_NORTH,28.28
01/20/2024,11:00,N,LZ_RAYBN,27.77
01/20/2024,11:00,N,LZ_SOUTH,25.28
01/20/2024,11:00,N,LZ_WEST,28.04
01/20/2024,12:00,N,HB_BUSAVG,23.30
01/20/2024,12:00,N,HB_HOUSTON,23.40
01/20/2024,12:00,N,HB_HUBAVG,23.28
01/20/2024,12:00,N,HB_NORTH,23.46
01/20/2024,12:00,N,HB_PAN,23.50
01/20/2024,12:00,N,HB_SOUTH,22.76
01/20/2024,12:00,N,HB_WEST,23.50
01/20/2024,12:00,N,LZ_AEN,23.76
01/20/2024,12:00,N,LZ_CPS,23.52
01/20/2024,12:00,N,LZ_HOUSTON,23.49
01/20/2024,12:00,N,LZ_LCRA,23.57
01/20/2024,12:00,N,LZ_NORTH,23.59
01/20/2024,12:00,N,LZ_RAYBN,23.50
01/20/2024,12:00,N,LZ_SOUTH,22.34
01/20/2024,12:00,N,LZ_WEST,23.58
01/20/2024,13:00,N,HB_BUSAVG,21.22
01/20/2024,13:00,N,HB_HOUSTON,21.33
01/20/2024,13:00,N,HB_HUBAVG,21.20
01/20/2024,13:00,N,HB_NORTH,21.35
01/20/2024,13:00,N,HB_PAN,21
01/20/2024,13:00,N,HB_SOUTH,20.74
01/20/2024,13:00,N,HB_WEST,21.38
01/20/2024,13:00,N,LZ_AEN,21.38
01/20/2024,13:00,N,LZ_CPS,21.48
01/20/2024,13:00,N,LZ_HOUSTON,21.39
01/20/2024,13:00,N,LZ_LCRA,21.39
01/20/2024,13:00,N,LZ_NORTH,21.38
01/20/2024,13:00,N,LZ_RAYBN,21.37
01/20/2024,13:00,N,LZ_SOUTH,20.38
01/20/2024,13:00,N,LZ_WEST,21.44
01/20/2024,14:00,N,HB_BUSAVG,17.93
01/20/2024,14:00,N,HB_HOUSTON,18.04
01/20/2024,14:00,N,HB_HUBAVG,17.92
01/20/2024,14:00,N,HB_NORTH,18.04
01/20/2024,14:00,N,HB_PAN,17.74
01/20/2024,14:00,N,HB_SOUTH,17.52
01/20/2024,14:00,N,HB_WEST,18.06
01/20/2024,14:00,N,LZ_AEN,18.05
01/20/2024,14:00,N,LZ_CPS,18.08
01/20/2024,14:00,N,LZ_HOUSTON,18.13
01/20/2024,14:00,N,LZ_LCRA,18.06
01/20/2024,14:00,N,LZ_NORTH,18.04
01/20/2024,14:00,N,LZ_RAYBN,18.03
01/20/2024,14:00,N,LZ_SOUTH,17.31
01/20/2024,14:00,N,LZ_WEST,18.12
01/20/2024,15:00,N,HB_BUSAVG,16.01
01/20/2024,15:00,N,HB_HOUSTON,16.12
01/20/2024,15:00,N,HB_HUBAVG,16
01/20/2024,15:00,N,HB_NORTH,16.14
01/20/2024,15:00,N,HB_PAN,15.64
01/20/2024,15:00,N,HB_SOUTH,15.55
01/20/2024,15:00,N,HB_WEST,16.18
01/20/2024,15:00,N,LZ_AEN,16.19
01/20/2024,15:00,N,LZ_CPS,16.23
01/20/2024,15:00,N,LZ_HOUSTON,16.17
01/20/2024,15:00,N,LZ_LCRA,16.21
01/20/2024,15:00,N,LZ_NORTH,16.14
01/20/2024,15:00,N,LZ_RAYBN,16.13
01/20/2024,15:00,N,LZ_SOUTH,15.30
01/20/2024,15:00,N,LZ_WEST,16.24
01/20/2024,16:00,N,HB_BUSAVG,16.01
01/20/2024,16:00,N,HB_HOUSTON,16.09
01/20/2024,16:00,N,HB_HUBAVG,15.99
01/20/2024,16:00,N,HB_NORTH,16.12
01/20/2024,16:00,N,HB_PAN,15.53
01/20/2024,16:00,N,HB_SOUTH,15.59
01/20/2024,16:00,N,HB_WEST,16.17
01/20/2024,16:00,N,LZ_AEN,16.19
01/20/2024,16:00,N,LZ_CPS,16.25
01/20/2024,16:00,N,LZ_HOUSTON,16.11
01/20/2024,16:00,N,LZ_LCRA,16.22
01/20/2024,16:00,N,LZ_NORTH,16.12
01/20/2024,16:00,N,LZ_RAYBN,16.12
01/20/2024,16:00,N,LZ_SOUTH,15.38
01/20/2024,16:00,N,LZ_WEST,16.25
01/20/2024,17:00,N,HB_BUSAVG,18.69
01/20/2024,17:00,N,HB_HOUSTON,18.88
01/20/2024,17:00,N,HB_HUBAVG,18.73
01/20/2024,17:00,N,HB_NORTH,18.82
01/20/2024,17:00,N,HB_PAN,16.60
01/20/2024,17:00,N,HB_SOUTH,17.99
01/20/2024,17:00,N,HB_WEST,19.24
