DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
09/30/2024,01:00,7RNCHSLR_ALL, 22.83,N
09/30/2024,01:00,ADL_RN, 23.02,N
09/30/2024,01:00,AEEC, 21.97,N
09/30/2024,01:00,AE_RN, 23,N
09/30/2024,01:00,AGUAYO_UNIT1, 27.53,N
09/30/2024,01:00,AJAXWIND_RN, 22.64,N
09/30/2024,01:00,ALGOD_ALL_RN, 23.02,N
09/30/2024,01:00,ALP_BESS_RN, 45.12,N
09/30/2024,01:00,ALVIN_RN, 23.01,N
09/30/2024,01:00,AMADEUS_ALL, 24.67,N
09/30/2024,01:00,AMISTAD_ALL, 36.55,N
09/30/2024,01:00,AMOCOOIL_CC1, 23.01,N
09/30/2024,01:00,AMOCOOIL_CC2, 23.01,N
09/30/2024,01:00,AMOCO_PUN1, 23.01,N
09/30/2024,01:00,AMOCO_PUN2, 23.01,N
09/30/2024,01:00,AMO_AMOCO_1, 23.01,N
09/30/2024,01:00,AMO_AMOCO_2, 23.01,N
09/30/2024,01:00,AMO_AMOCO_5, 23.01,N
09/30/2024,01:00,AMO_AMOCO_G1, 23.01,N
09/30/2024,01:00,AMO_AMOCO_G2, 23.01,N
09/30/2024,01:00,AMO_AMOCO_G3, 23.01,N
09/30/2024,01:00,AMO_AMOCO_S1, 23.01,N
09/30/2024,01:00,AMO_AMOCO_S2, 23.01,N
09/30/2024,01:00,ANACACHO_ANA, 28.29,N
09/30/2024,01:00,ANCHOR_ALL, 24.09,N
09/30/2024,01:00,ANDMDSLR_ALL, 24.89,N
09/30/2024,01:00,ANEM_ESS_RN, 22.96,N
09/30/2024,01:00,ANG_ALL, 33.74,N
09/30/2024,01:00,ANSON1_ALL, 25.4,N
09/30/2024,01:00,APPALOSA_ALL, 50.37,N
09/30/2024,01:00,AQUI_ALL, 23.27,N
09/30/2024,01:00,ARAGORN_RN, 49.81,N
09/30/2024,01:00,ASTRA_RN, 22.76,N
09/30/2024,01:00,ATK_ATKINSG7, 23.02,N
09/30/2024,01:00,AURO_SLR_RN, 22.95,N
09/30/2024,01:00,AUSTPL_ALL, 22.69,N
09/30/2024,01:00,AVIAT_ALL, 32.89,N
09/30/2024,01:00,AZURE_RN, 24.29,N
09/30/2024,01:00,AZ_ALL, 23.02,N
