Open,Close,High,Low,Average,USD/kg,Date
1.722,1.603,1.722,1.581,1.6515,0.075756881,2/23/2024
1.784,1.732,1.784,1.661,1.7225,0.079013761,2/22/2024
1.719,1.773,1.792,1.677,1.7345,0.07956422,2/21/2024
1.533,1.576,1.709,1.522,1.6155,0.074105505,2/20/2024
1.589,1.609,1.637,1.575,1.606,0.073669725,2/19/2024
1.589,1.609,1.637,1.575,1.606,0.073669725,2/18/2024
1.589,1.609,1.637,1.575,1.606,0.073669725,2/17/2024
1.589,1.609,1.637,1.575,1.606,0.073669725,2/16/2024
1.611,1.581,1.669,1.573,1.621,0.074357798,2/15/2024
1.669,1.609,1.685,1.59,1.6375,0.075114679,2/14/2024
1.754,1.689,1.786,1.654,1.72,0.078899083,2/13/2024
1.805,1.768,1.863,1.732,1.7975,0.082454128,2/12/2024
1.885,1.847,1.885,1.817,1.851,0.084908257,2/11/2024
1.885,1.847,1.885,1.817,1.851,0.084908257,2/10/2024
1.885,1.847,1.885,1.817,1.851,0.084908257,2/9/2024
1.97,1.968,1.972,1.966,1.969,0.090321101,2/8/2024
2.003,1.967,2.04,1.956,1.998,0.091651376,2/7/2024
2.068,2.009,2.102,1.997,2.0495,0.094013761,2/6/2024
2.11,2.082,2.127,2.041,2.084,0.09559633,2/5/2024
2.054,2.079,2.1,2.021,2.0605,0.094518349,2/4/2024
2.054,2.079,2.1,2.021,2.0605,0.094518349,2/3/2024
2.054,2.079,2.1,2.021,2.0605,0.094518349,2/2/2024
2.134,2.05,2.168,2.033,2.1005,0.096353211,2/1/2024
2.09,2.1,2.158,2.037,2.0975,0.096215596,1/31/2024
0,2.077,2.119,2.046,2.0825,0.095527523,1/30/2024
2.68,2.49,2.76,2.411,2.5855,0.118600917,1/29/2024
2.607,2.712,2.804,2.424,2.614,0.119908257,1/28/2024
2.607,2.712,2.804,2.424,2.614,0.119908257,1/27/2024
2.607,2.712,2.804,2.424,2.614,0.119908257,1/26/2024
2.683,2.571,2.884,2.526,2.705,0.124082569,1/25/2024
2.498,2.641,2.696,2.495,2.5955,0.119059633,1/24/2024
