Date,Time and date,Real time,DAM,Forecasted DAM,NG_Price,MMBTU NG,
13,5/13/2024 1:00,42.7,25.14,25.14,0.116810564,2.3,1
13,5/13/2024 2:00,39.42,21.94,21.94,0.116988319,2.3035,2
13,5/13/2024 3:00,63.64,20.08,20.08,0.117166074,2.307,3
13,5/13/2024 4:00,160.74,19.02,19.02,0.117343829,2.3105,4
13,5/13/2024 5:00,74.97,18.99,18.99,0.117521585,2.314,5
13,5/13/2024 6:00,153.7,24.47,24.47,0.11769934,2.3175,6
13,5/13/2024 7:00,101.23,33.51,33.51,0.117877095,2.321,7
13,5/13/2024 8:00,22.97,28,28,0.11805485,2.3245,8
13,5/13/2024 9:00,19.57,17.3,17.3,0.118232605,2.328,9
13,5/13/2024 10:00,17.95,15.32,15.32,0.118410361,2.3315,10
13,5/13/2024 11:00,15.26,16.68,16.68,0.118588116,2.335,11
13,5/13/2024 12:00,18.73,17.07,17.07,0.118765871,2.3385,12
13,5/13/2024 13:00,33.92,20.75,20.75,0.118943626,2.342,13
13,5/13/2024 14:00,20.27,26.85,26.85,0.119121381,2.3455,14
13,5/13/2024 15:00,20.03,27.05,27.05,0.119299137,2.349,15
13,5/13/2024 16:00,16.46,30.1,30.1,0.119476892,2.3525,16
13,5/13/2024 17:00,15.09,34.84,34.84,0.119654647,2.356,17
13,5/13/2024 18:00,14.79,35.22,35.22,0.119832402,2.3595,18
13,5/13/2024 19:00,17.42,42.06,42.06,0.120010157,2.363,19
13,5/13/2024 20:00,72.23,248.55,248.55,0.120187913,2.3665,20
13,5/13/2024 21:00,75.03,371.15,371.15,0.120365668,2.37,21
13,5/13/2024 22:00,75,152.63,152.63,0.120543423,2.3735,22
13,5/13/2024 23:00,35.41,50.53,50.53,0.120721178,2.377,23
13,5/14/2024 0:00,23.3,28.18,28.18,0.12087354,2.38,0
14,5/14/2024 1:00,21.24,32.08,25.14,0.120787202,2.3783,1
14,5/14/2024 2:00,19.75,30.14,21.94,0.120700863,2.3766,2
14,5/14/2024 3:00,20.72,29.15,20.08,0.120614525,2.3749,3
14,5/14/2024 4:00,20.77,29.43,19.02,0.120528187,2.3732,4
14,5/14/2024 5:00,20.99,30.99,18.99,0.120441849,2.3715,5
14,5/14/2024 6:00,22.2,33.9,24.47,0.12035551,2.3698,6
14,5/14/2024 7:00,23.24,37.95,33.51,0.120269172,2.3681,7
14,5/14/2024 8:00,13.27,28.46,28,0.120182834,2.3664,8
14,5/14/2024 9:00,8.82,17.39,17.3,0.120096496,2.3647,9
14,5/14/2024 10:00,10.37,16.74,15.32,0.120010157,2.363,10
14,5/14/2024 11:00,11.84,18.88,16.68,0.119923819,2.3613,11
14,5/14/2024 12:00,12.44,20.59,17.07,0.119837481,2.3596,12
14,5/14/2024 13:00,15.24,25.16,20.75,0.119751143,2.3579,13
14,5/14/2024 14:00,17.58,34.44,26.85,0.119664804,2.3562,14
14,5/14/2024 15:00,18.95,42.73,27.05,0.119578466,2.3545,15
14,5/14/2024 16:00,21.58,56.43,30.1,0.119492128,2.3528,16
14,5/14/2024 17:00,34.01,83.07,34.84,0.11940579,2.3511,17
14,5/14/2024 18:00,37.6,100.24,35.22,0.119319451,2.3494,18
14,5/14/2024 19:00,75.19,106.53,42.06,0.119233113,2.3477,19
14,5/14/2024 20:00,75.03,500.36,248.55,0.119146775,2.346,20
14,5/14/2024 21:00,22.55,137.56,371.15,0.119060437,2.3443,21
14,5/14/2024 22:00,16.1,31.06,152.63,0.118974099,2.3426,22
14,5/14/2024 23:00,17.07,20.33,50.53,0.11888776,2.3409,23
14,5/15/2024 0:00,15.45,17.04,28.18,0.118842052,2.34,0
15,5/15/2024 1:00,16.31,12.39,25.14,0.11900965,2.3433,1
15,5/15/2024 2:00,13.31,10.18,21.94,0.119177247,2.3466,2
15,5/15/2024 3:00,10.83,8.94,20.08,0.119344845,2.3499,3
15,5/15/2024 4:00,9.8,8.22,19.02,0.119512443,2.3532,4
15,5/15/2024 5:00,10.47,8.71,18.99,0.119680041,2.3565,5
15,5/15/2024 6:00,12.61,10.71,24.47,0.119847638,2.3598,6
15,5/15/2024 7:00,14.63,14.8,33.51,0.120015236,2.3631,7
15,5/15/2024 8:00,4.62,14.45,28,0.120182834,2.3664,8
15,5/15/2024 9:00,4.81,11.07,17.3,0.120350432,2.3697,9
15,5/15/2024 10:00,6.88,10.99,15.32,0.120518029,2.373,10
15,5/15/2024 11:00,12.41,13.21,16.68,0.120685627,2.3763,11
15,5/15/2024 12:00,15.5,14.17,17.07,0.120853225,2.3796,12
15,5/15/2024 13:00,20.07,16.67,20.75,0.121020823,2.3829,13
15,5/15/2024 14:00,21.26,20.47,26.85,0.121188421,2.3862,14
15,5/15/2024 15:00,23.76,23.23,27.05,0.121356018,2.3895,15
15,5/15/2024 16:00,26.8,30.8,30.1,0.121523616,2.3928,16
15,5/15/2024 17:00,50.22,30.61,34.84,0.121691214,2.3961,17
15,5/15/2024 18:00,62.04,32.88,35.22,0.121858812,2.3994,18
15,5/15/2024 19:00,22.15,29.4,42.06,0.122026409,2.4027,19
