DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,DSTFlag
2/24/2024,1,0.23,0,0,0,N
2/24/2024,2,0.22,0,0,0,N
2/24/2024,3,0.23,0,0,0,N
2/24/2024,4,0.23,0,0,0,N
2/24/2024,5,0.23,0,0,0,N
2/24/2024,6,0.28,0,0,0,N
2/24/2024,7,1.28,0.3,0.1,0.1,N
2/24/2024,8,1936.5,1512.3,1736.1,1661,N
2/24/2024,9,11824.62,10536.8,11661.9,11338.4,N
2/24/2024,10,16464.61,16310.3,17828.2,17619.4,N
2/24/2024,11,14857.22,16841.3,17265.3,16929.6,N
2/24/2024,12,11941.35,16935.1,16235.5,15862.8,N
2/24/2024,13,11901.95,16263.8,15799,15456.9,N
2/24/2024,14,11271.61,15988.9,15996.4,15693.8,N
2/24/2024,15,10658.78,15748.5,16177.8,15867.4,N
2/24/2024,16,10041.02,15747.5,15797.7,15441.5,N
2/24/2024,17,8859.2,14228.8,13313,12880.6,N
2/24/2024,18,5239.04,6904.1,6212.9,5751.8,N
2/24/2024,19,409.38,387.7,492.5,420.2,N
2/24/2024,20,0.73,0,0,0,N
2/24/2024,21,0.81,0,0,0,N
2/24/2024,22,0.85,0,0,0,N
2/24/2024,23,0.78,0,0,0,N
2/24/2024,24,0,0,0,0,N
