DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,DSTFlag
4/20/2024,1,0.71,0,0,0,N
4/20/2024,2,0.71,0,0,0,N
4/20/2024,3,0.71,0,0,0,N
4/20/2024,4,0.69,0,0,0,N
4/20/2024,5,0.7,0,0,0,N
4/20/2024,6,0.77,0,0,0,N
4/20/2024,7,1.04,0.1,0.1,0.1,N
4/20/2024,8,180.05,308.9,255.9,237,N
4/20/2024,9,965.05,1383.7,1559,1413.4,N
4/20/2024,10,2214.91,2325.5,2225.4,2041.3,N
4/20/2024,11,3266.23,2820.4,3101.7,2833.3,N
4/20/2024,12,3972.09,3211.7,4291.6,3879.8,N
4/20/2024,13,4647.75,3920.7,4592.5,4142,N
4/20/2024,14,5597.94,4596.6,5424.8,4952.8,N
4/20/2024,15,5138.75,4474.6,6163.2,5682.6,N
4/20/2024,16,4369.92,4093.8,4915.4,4484.4,N
4/20/2024,17,3605.15,3571.9,3463.9,3097.1,N
4/20/2024,18,3522.78,2444.2,3110.5,2794.3,N
4/20/2024,19,2199.9,1386.8,2276.5,2034.9,N
4/20/2024,20,367.33,369.8,411.5,355.5,N
4/20/2024,21,,9.3,1.4,1.2,N
4/20/2024,22,,0,0,0,N
4/20/2024,23,,0,0,0,N
4/20/2024,24,,0,0,0,N
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
