Date,Hour,Real time,DAM,Forecasted DAM
13,1,42.7,25.14,25.14
13,2,39.42,21.94,21.94
13,3,63.64,20.08,20.08
13,4,160.74,19.02,19.02
13,5,74.97,18.99,18.99
13,6,153.7,24.47,24.47
13,7,101.23,33.51,33.51
13,8,22.97,28,28
13,9,19.57,17.3,17.3
13,10,17.95,15.32,15.32
13,11,15.26,16.68,16.68
13,12,18.73,17.07,17.07
13,13,33.92,20.75,20.75
13,14,20.27,26.85,26.85
13,15,20.03,27.05,27.05
13,16,16.46,30.1,30.1
13,17,15.09,34.84,34.84
13,18,14.79,35.22,35.22
13,19,17.42,42.06,42.06
13,20,72.23,248.55,248.55
13,21,75.03,371.15,371.15
13,22,75,152.63,152.63
13,23,35.41,50.53,50.53
13,24,23.3,28.18,28.18
14,1,21.24,32.08,25.14
14,2,19.75,30.14,21.94
14,3,20.72,29.15,20.08
14,4,20.77,29.43,19.02
14,5,20.99,30.99,18.99
14,6,22.2,33.9,24.47
14,7,23.24,37.95,33.51
14,8,13.27,28.46,28
14,9,8.82,17.39,17.3
14,10,10.37,16.74,15.32
14,11,11.84,18.88,16.68
14,12,12.44,20.59,17.07
14,13,15.24,25.16,20.75
14,14,17.58,34.44,26.85
14,15,18.95,42.73,27.05
14,16,21.58,56.43,30.1
14,17,34.01,83.07,34.84
14,18,37.6,100.24,35.22
14,19,75.19,106.53,42.06
14,20,75.03,500.36,248.55
14,21,22.55,137.56,371.15
14,22,16.1,31.06,152.63
14,23,17.07,20.33,50.53
14,24,15.45,17.04,28.18
15,1,16.31,12.39,25.14
15,2,13.31,10.18,21.94
15,3,10.83,8.94,20.08
15,4,9.8,8.22,19.02
15,5,10.47,8.71,18.99
15,6,12.61,10.71,24.47
15,7,14.63,14.8,33.51
15,8,4.62,14.45,28
15,9,4.81,11.07,17.3
15,10,6.88,10.99,15.32
15,11,12.41,13.21,16.68
15,12,15.5,14.17,17.07
15,13,20.07,16.67,20.75
15,14,21.26,20.47,26.85
15,15,23.76,23.23,27.05
15,16,26.8,30.8,30.1
15,17,50.22,30.61,34.84
15,18,62.04,32.88,35.22
15,19,22.15,29.4,42.06
15,20,26.12,45.59,248.55
15,21,28.57,44.82,371.15
15,22,19.37,29.74,152.63
15,23,18.28,19.34,50.53
15,24,18.62,17.55,28.18
16,1,18.42,16.03,25.14
16,2,18.56,13.93,21.94
16,3,18.23,13.02,20.08
16,4,17.16,14.25,19.02
16,5,16.86,17.9,18.99
16,6,18.92,22.78,24.47
16,7,21.05,30.26,33.51
16,8,18.72,28.3,28
16,9,19.31,19.97,17.3
16,10,17.65,18.76,15.32
16,11,20.58,19.28,16.68
16,12,22.32,19.22,17.07
16,13,110.72,20.3,20.75
16,14,67,25.13,26.85
16,15,38.8,28.16,27.05
16,16,20.84,29.92,30.1
16,17,21.69,33.54,34.84
16,18,22.39,34.28,35.22
16,19,18.94,37.36,42.06
16,20,17.83,78.78,248.55
16,21,17.07,118.89,371.15
16,22,18.94,102.13,152.63
16,23,19.02,46.44,50.53
16,24,20.9,28.94,28.18
17,1,19.96,30.91,25.14
17,2,20.83,27.75,21.94
17,3,19.47,25.36,20.08
17,4,18.02,24.79,19.02
17,5,18.74,24.57,18.99
17,6,19.89,29.76,24.47
17,7,18.38,48.42,33.51
17,8,13.78,37.19,28
17,9,13.41,28.25,17.3
17,10,11.35,30.06,15.32
17,11,12.8,28.17,16.68
17,12,13.09,23.8,17.07
17,13,15.09,24.81,20.75
17,14,17.62,31.52,26.85
17,15,18.18,31.44,27.05
17,16,18.91,35.23,30.1
17,17,33.82,61.04,34.84
17,18,23.56,79.69,35.22
17,19,32.52,122.17,42.06
17,20,75.03,422.11,248.55
17,21,73.51,690.2,371.15
17,22,52.12,249.93,152.63
17,23,20.86,46.61,50.53
17,24,17.1,27.93,28.18
