,COAST
"01/01/2016, 12:00:00 AM",9001.477931581372
"01/01/2016, 01:00:00 AM",8864.555455590562
"01/01/2016, 02:00:00 AM",8745.758728483625
"01/01/2016, 03:00:00 AM",8689.87975507956
"01/01/2016, 04:00:00 AM",8733.70309365976
"01/01/2016, 05:00:00 AM",8920.22939057759
"01/01/2016, 06:00:00 AM",9104.4007753878
"01/01/2016, 07:00:00 AM",9178.304707973024
"01/01/2016, 08:00:00 AM",9335.493911462281
"01/01/2016, 09:00:00 AM",9680.865160751584
"01/01/2016, 10:00:00 AM",10002.141162329124
"01/01/2016, 11:00:00 AM",10122.309275200549
"01/01/2016, 12:00:00 PM",10190.752414731884
"01/01/2016, 01:00:00 PM",10090.087589689623
"01/01/2016, 02:00:00 PM",9978.951756920582
"01/01/2016, 03:00:00 PM",9995.437137660387
"01/01/2016, 04:00:00 PM",10094.172388518498
"01/01/2016, 05:00:00 PM",10597.369061123694
"01/01/2016, 06:00:00 PM",10809.277404203189
"01/01/2016, 07:00:00 PM",10686.841040646648
"01/01/2016, 08:00:00 PM",10575.215760631298
"01/01/2016, 09:00:00 PM",10387.3404666313
"01/01/2016, 10:00:00 PM",10110.456508038702
"01/01/2016, 11:00:00 PM",9714.663700000001
"01/02/2016, 12:00:00 AM",9389.996596930168
"01/02/2016, 01:00:00 AM",9159.557789836697
"01/02/2016, 02:00:00 AM",9029.285197187752
"01/02/2016, 03:00:00 AM",8926.233157720895
"01/02/2016, 04:00:00 AM",9000.16225652964
"01/02/2016, 05:00:00 AM",9186.957749740295
"01/02/2016, 06:00:00 AM",9453.046361289533
"01/02/2016, 07:00:00 AM",9741.219442990001
"01/02/2016, 08:00:00 AM",10013.363059825348
"01/02/2016, 09:00:00 AM",10340.046369547956
"01/02/2016, 10:00:00 AM",10507.986023608337
"01/02/2016, 11:00:00 AM",10603.691507331385
"01/02/2016, 12:00:00 PM",10564.29710406542
"01/02/2016, 01:00:00 PM",10341.777517914612
"01/02/2016, 02:00:00 PM",10071.924271522665
"01/02/2016, 03:00:00 PM",9944.167123029358
"01/02/2016, 04:00:00 PM",9999.249802488814
"01/02/2016, 05:00:00 PM",10511.790087453483
"01/02/2016, 06:00:00 PM",10822.617291590452
"01/02/2016, 07:00:00 PM",10743.637686862716
"01/02/2016, 08:00:00 PM",10643.717242978393
"01/02/2016, 09:00:00 PM",10445.642737576585
"01/02/2016, 10:00:00 PM",10095.25370041729
"01/02/2016, 11:00:00 PM",9695.1598
"01/03/2016, 12:00:00 AM",9316.843422339094
"01/03/2016, 01:00:00 AM",9091.157270646783
"01/03/2016, 02:00:00 AM",8966.937566844932
"01/03/2016, 03:00:00 AM",8921.580178297943
"01/03/2016, 04:00:00 AM",8967.510663396602
"01/03/2016, 05:00:00 AM",9148.758599865272
"01/03/2016, 06:00:00 AM",9416.239193321937
"01/03/2016, 07:00:00 AM",9573.356884628152
"01/03/2016, 08:00:00 AM",9750.015203460762
"01/03/2016, 09:00:00 AM",9826.861305068285
