,wind_speed,dni
2017-01-01 00:00:00,8.0,0.0
2017-01-01 01:00:00,9.0,0.0
2017-01-01 02:00:00,10.0,0.0
2017-01-01 03:00:00,10.0,0.0
2017-01-01 04:00:00,9.5,0.0
2017-01-01 05:00:00,8.5,0.0
2017-01-01 06:00:00,7.5,0.0
2017-01-01 07:00:00,6.5,0.0
2017-01-01 08:00:00,6.0,0.0
2017-01-01 09:00:00,7.0,0.0
2017-01-01 10:00:00,6.5,0.0
2017-01-01 11:00:00,5.5,0.0
2017-01-01 12:00:00,4.5,0.0
2017-01-01 13:00:00,2.0,0.0
2017-01-01 14:00:00,0.5,0.0
2017-01-01 15:00:00,3.5,0.0
2017-01-01 16:00:00,8.5,158.5
2017-01-01 17:00:00,12.0,197.5
2017-01-01 18:00:00,15.5,355.5
2017-01-01 19:00:00,17.5,229.5
2017-01-01 20:00:00,19.0,340.5
2017-01-01 21:00:00,17.5,347.5
2017-01-01 22:00:00,12.0,242.0
2017-01-01 23:00:00,9.0,46.5
2017-01-02 00:00:00,10.0,0.0
2017-01-02 01:00:00,11.0,0.0
2017-01-02 02:00:00,11.0,0.0
2017-01-02 03:00:00,11.0,0.0
2017-01-02 04:00:00,12.0,0.0
2017-01-02 05:00:00,12.0,0.0
2017-01-02 06:00:00,12.0,0.0
2017-01-02 07:00:00,14.0,0.0
2017-01-02 08:00:00,15.0,0.0
2017-01-02 09:00:00,16.5,0.0
2017-01-02 10:00:00,19.0,0.0
2017-01-02 11:00:00,24.0,0.0
2017-01-02 12:00:00,30.5,0.0
2017-01-02 13:00:00,32.5,0.0
2017-01-02 14:00:00,32.0,143.0
2017-01-02 15:00:00,31.5,151.0
2017-01-02 16:00:00,33.0,399.0
2017-01-02 17:00:00,39.5,857.5
2017-01-02 18:00:00,39.5,923.5
2017-01-02 19:00:00,34.5,941.0
2017-01-02 20:00:00,28.0,924.5
2017-01-02 21:00:00,20.0,866.5
2017-01-02 22:00:00,10.5,729.5
2017-01-02 23:00:00,10.0,250.0
2017-01-03 00:00:00,10.0,0.0
2017-01-03 01:00:00,10.0,0.0
2017-01-03 02:00:00,10.0,0.0
2017-01-03 03:00:00,10.0,0.0
2017-01-03 04:00:00,10.0,0.0
2017-01-03 05:00:00,10.0,0.0
2017-01-03 06:00:00,11.0,0.0
2017-01-03 07:00:00,10.5,0.0
2017-01-03 08:00:00,10.0,0.0
2017-01-03 09:00:00,10.0,0.0
2017-01-03 10:00:00,10.0,0.0
2017-01-03 11:00:00,11.0,0.0
