S.No.,County,FIPS code,County seat,Area,Population,Established Year,Origin
1,Anderson County,001,Palestine,"1,071 sq mi
(2,774 km)","58,402",1846,Houston County
2,Andrews County,003,Andrews,"1,501 sq mi
(3,888 km)","18,440",1876,Bexar County
3,Angelina County,005,Lufkin,"802 sq mi
(2,077 km)","86,506",1846,Nacogdoches County
4,Aransas County,007,Rockport,"252 sq mi
(653 km)","24,510",1871,Refugio County
5,Archer County,009,Archer City,"910 sq mi
(2,357 km)","8,681",1858,Fannin County
6,Armstrong County,011,Claude,"914 sq mi
(2,367 km)","1,839",1876,Bexar County
7,Atascosa County,013,Jourdanton,"1,232 sq mi
(3,191 km)","49,939",1856,Bexar County
8,Austin County,015,Bellville,"653 sq mi
(1,691 km)","30,380",1836,One of the original 23 counties
9,Bailey County,017,Muleshoe,"827 sq mi
(2,142 km)","6,835",1876,Bexar County
10,Bandera County,019,Bandera,"792 sq mi
(2,051 km)","21,565",1856,Bexar County
11,Bastrop County,021,Bastrop,"888 sq mi
(2,300 km)","102,058",1836,One of the original 23 counties
12,Baylor County,023,Seymour,"871 sq mi
(2,256 km)","3,477",1858,Fannin County
13,Bee County,025,Beeville,"880 sq mi
(2,279 km)","30,924",1857,"San Patricio County, Goliad County, Refugio County, Live Oak County, and Karnes County"
14,Bell County,027,Belton,"1,059 sq mi
(2,743 km)","379,617",1850,Milam County
15,Bexar County,029,San Antonio,"1,247 sq mi
(3,230 km)","2,028,236",1836,One of the original 23 counties
16,Blanco County,031,Johnson City,"711 sq mi
(1,841 km)","11,886",1858,"Burnet County, Comal County, Gillespie County and Hays County"
17,Borden County,033,Gail,"899 sq mi
(2,328 km)",617,1876,Bexar County
18,Bosque County,035,Meridian,"989 sq mi
(2,561 km)","18,503",1854,McLennan County
19,Bowie County,037,New Boston,"888 sq mi
(2,300 km)","92,581",1840,Red River County
20,Brazoria County,039,Angleton,"1,387 sq mi
(3,592 km)","379,689",1836,One of the original 23 counties
21,Brazos County,041,Bryan,"586 sq mi
(1,518 km)","237,032",1841,Washington County. Named Navasota County until 1842
22,Brewster County,043,Alpine,"6,193 sq mi
(16,040 km)","9,450",1887,Presidio County
23,Briscoe County,045,Silverton,"900 sq mi
(2,331 km)","1,403",1876,Bexar County
24,Brooks County,047,Falfurrias,"943 sq mi
(2,442 km)","6,994",1911,Starr County
25,Brown County,049,Brownwood,"944 sq mi
(2,445 km)","38,192",1856,Comanche County and Travis County
26,Burleson County,051,Caldwell,"666 sq mi
(1,725 km)","18,051",1846,Milam County
27,Burnet County,053,Burnet,"995 sq mi
(2,577 km)","50,954",1852,"Bell County, Travis County and Williamson County"
28,Caldwell County,055,Lockhart,"546 sq mi
(1,414 km)","46,791",1848,Bastrop County and Gonzales County
29,Calhoun County,057,Port Lavaca,"512 sq mi
(1,326 km)","19,727",1846,"Jackson County, Matagorda County and Victoria County"
30,Callahan County,059,Baird,"899 sq mi
(2,328 km)","14,115",1858,"Bexar County, Bosque County, and Travis County"
31,Cameron County,061,Brownsville,"906 sq mi
(2,347 km)","423,029",1848,Nueces County and lands ceded by Mexico
32,Camp County,063,Pittsburg,"198 sq mi
(513 km)","12,616",1874,Upshur County
33,Carson County,065,Panhandle,"923 sq mi
(2,391 km)","5,746",1876,Bexar County
34,Cass County,067,Linden,"938 sq mi
(2,429 km)","28,560",1846,Bowie County
35,Castro County,069,Dimmitt,"898 sq mi
(2,326 km)","7,374",1876,Bexar County
36,Chambers County,071,Anahuac,"599 sq mi
(1,551 km)","48,865",1858,Jefferson County and Liberty County
37,Cherokee County,073,Rusk,"1,052 sq mi
(2,725 km)","51,097",1846,Nacogdoches County
38,Childress County,075,Childress,"710 sq mi
(1,839 km)","6,736",1876,Bexar County
39,Clay County,077,Henrietta,"1,098 sq mi
(2,844 km)","10,263",1857,Cooke County
40,Cochran County,079,Morton,"775 sq mi
(2,007 km)","2,516",1876,Bexar County
41,Coke County,081,Robert Lee,"899 sq mi
(2,328 km)","3,321",1889,Tom Green County
42,Coleman County,083,Coleman,"1,273 sq mi
(3,297 km)","7,735",1858,Brown County and Travis County
43,Collin County,085,McKinney,"848 sq mi
(2,196 km)","1,109,462",1846,Fannin County
44,Collingsworth County,087,Wellington,"919 sq mi
(2,380 km)","2,615",1876,Bexar County
45,Colorado County,089,Columbus,"963 sq mi
(2,494 km)","20,630",1836,One of the original 23 counties
46,Comal County,091,New Braunfels,"562 sq mi
(1,456 km)","174,986",1846,Bexar County
47,Comanche County,093,Comanche,"938 sq mi
(2,429 km)","13,775",1856,Bosque County and Coryell County
48,Concho County,095,Paint Rock,"992 sq mi
(2,569 km)","3,341",1858,Bexar County
49,Cooke County,097,Gainesville,"874 sq mi
(2,264 km)","42,244",1848,Fannin County
50,Coryell County,099,Gatesville,"1,052 sq mi
(2,725 km)","84,232",1854,Bell County
51,Cottle County,101,Paducah,"901 sq mi
(2,334 km)","1,381",1876,Fannin County
52,Crane County,103,Crane,"786 sq mi
(2,036 km)","4,680",1887,Tom Green County
53,Crockett County,105,Ozona,"2,808 sq mi
(7,273 km)","3,068",1875,Bexar County
54,Crosby County,107,Crosbyton,"900 sq mi
(2,331 km)","5,106",1876,Bexar County
55,Culberson County,109,Van Horn,"3,813 sq mi
(9,876 km)","2,193",1911,El Paso County
56,Dallam County,111,Dalhart,"1,505 sq mi
(3,898 km)","7,172",1876,Bexar County
57,Dallas County,113,Dallas,"880 sq mi
(2,279 km)","2,586,050",1846,Nacogdoches County and Robertson County
58,Dawson County,115,Lamesa,"902 sq mi
(2,336 km)","12,413",1876,Bexar County
59,Deaf Smith County,117,Hereford,"1,497 sq mi
(3,877 km)","18,329",1876,Bexar County
60,Delta County,119,Cooper,"277 sq mi
(717 km)","5,392",1870,Hopkins County and Lamar County
61,Denton County,121,Denton,"888 sq mi
(2,300 km)","941,647",1846,Fannin County
