Year,Month,Day,Hour,Minute,DNI,Wind Speed
2019,1,1,0,30,0,5.6000000000000005
2019,1,1,1,30,0,5.9
2019,1,1,2,30,0,5.800000000000001
2019,1,1,3,30,0,5.5
2019,1,1,4,30,0,5.7
2019,1,1,5,30,0,5.800000000000001
2019,1,1,6,30,0,5.7
2019,1,1,7,30,0,5.6000000000000005
2019,1,1,8,30,0,5.6000000000000005
2019,1,1,9,30,0,5.6000000000000005
2019,1,1,10,30,1,5.800000000000001
2019,1,1,11,30,18,5.9
2019,1,1,12,30,694,5.7
2019,1,1,13,30,728,5.300000000000001
2019,1,1,14,30,263,5
2019,1,1,15,30,143,4.5
2019,1,1,16,30,3,4.3
2019,1,1,17,30,0,4.2
2019,1,1,18,30,0,4.2
2019,1,1,19,30,0,3.8000000000000003
2019,1,1,20,30,0,3.6
2019,1,1,21,30,0,3.4000000000000004
2019,1,1,22,30,0,3.2
2019,1,1,23,30,0,3.1
2019,1,2,0,30,0,3
2019,1,2,1,30,0,3
2019,1,2,2,30,0,3
2019,1,2,3,30,0,2.9000000000000004
2019,1,2,4,30,0,2.9000000000000004
2019,1,2,5,30,0,2.8000000000000003
2019,1,2,6,30,0,2.8000000000000003
2019,1,2,7,30,7,3
2019,1,2,8,30,154,3.3000000000000003
2019,1,2,9,30,215,3.1
2019,1,2,10,30,311,2.5
2019,1,2,11,30,377,1.9000000000000001
2019,1,2,12,30,380,1.4000000000000001
2019,1,2,13,30,244,1.1
2019,1,2,14,30,21,1.2000000000000002
2019,1,2,15,30,0,1.5
2019,1,2,16,30,10,1.8
2019,1,2,17,30,0,2
2019,1,2,18,30,0,2.1
2019,1,2,19,30,0,2.5
2019,1,2,20,30,0,2.8000000000000003
2019,1,2,21,30,0,3
2019,1,2,22,30,0,3.1
2019,1,2,23,30,0,3
2019,1,3,0,30,0,2.7
2019,1,3,1,30,0,2.4000000000000004
2019,1,3,2,30,0,2.3000000000000003
2019,1,3,3,30,0,2.3000000000000003
2019,1,3,4,30,0,2.4000000000000004
2019,1,3,5,30,0,2.5
2019,1,3,6,30,0,2.6
2019,1,3,7,30,0,3
2019,1,3,8,30,17,3.5
2019,1,3,9,30,71,4.1000000000000005
2019,1,3,10,30,40,4.7
2019,1,3,11,30,20,5
2019,1,3,12,30,317,4.7
2019,1,3,13,30,520,4.2
2019,1,3,14,30,766,3.7
2019,1,3,15,30,282,3.2
2019,1,3,16,30,92,3
2019,1,3,17,30,0,2.8000000000000003
2019,1,3,18,30,0,2.7
2019,1,3,19,30,0,2.4000000000000004
2019,1,3,20,30,0,2.2
2019,1,3,21,30,0,1.9000000000000001
2019,1,3,22,30,0,1.7000000000000002
2019,1,3,23,30,0,1.9000000000000001
2019,1,4,0,30,0,2.2
2019,1,4,1,30,0,2.7
2019,1,4,2,30,0,3
2019,1,4,3,30,0,3.2
2019,1,4,4,30,0,3.1
2019,1,4,5,30,0,2.9000000000000004
2019,1,4,6,30,0,2.9000000000000004
2019,1,4,7,30,0,3.4000000000000004
2019,1,4,8,30,208,3.7
2019,1,4,9,30,360,4
2019,1,4,10,30,305,4.2
2019,1,4,11,30,333,4.2
2019,1,4,12,30,227,4.1000000000000005
2019,1,4,13,30,56,3.8000000000000003
2019,1,4,14,30,8,3.3000000000000003
2019,1,4,15,30,0,3.1
2019,1,4,16,30,0,3
2019,1,4,17,30,0,2.7
2019,1,4,18,30,0,2.4000000000000004
2019,1,4,19,30,0,2
2019,1,4,20,30,0,1.9000000000000001
2019,1,4,21,30,0,1.8
2019,1,4,22,30,0,1.7000000000000002
2019,1,4,23,30,0,1.6
2019,1,5,0,30,0,1.8
2019,1,5,1,30,0,2.3000000000000003
2019,1,5,2,30,0,2.9000000000000004
2019,1,5,3,30,0,3.6
2019,1,5,4,30,0,4.3
2019,1,5,5,30,0,4.6000000000000005
2019,1,5,6,30,0,4.7
