datetime,PV,WF,day,hour
2019-01-01 00:00:00,0.0,37065.90335507694,1,0
2019-01-01 01:00:00,0.0,61484.47372314924,1,1
2019-01-01 02:00:00,0.0,92213.67797804065,1,2
2019-01-01 03:00:00,0.0,150292.78645593373,1,3
2019-01-01 04:00:00,0.0,279807.69619360234,1,4
2019-01-01 05:00:00,0.0,483355.5979653514,1,5
2019-01-01 06:00:00,0.0,679966.7701449215,1,6
2019-01-01 07:00:00,0.570232000654148,958287.7451019309,1,7
2019-01-01 08:00:00,7.074219342937992,1390363.8674184033,1,8
2019-01-01 09:00:00,15.365120377107239,1691202.1041159753,1,9
2019-01-01 10:00:00,18.133627321714787,1769136.822182428,1,10
2019-01-01 11:00:00,38.87816534163486,1751387.5834912192,1,11
2019-01-01 12:00:00,26.22703860969838,1560611.3380939793,1,12
2019-01-01 13:00:00,45.38861655277312,1303822.4393583387,1,13
2019-01-01 14:00:00,48.46887739782967,1038909.3198280042,1,14
2019-01-01 15:00:00,37.04889250243097,576784.1915984813,1,15
2019-01-01 16:00:00,22.07947823664444,294834.0618853092,1,16
2019-01-01 17:00:00,1.1722339675828128,263329.57277610333,1,17
2019-01-01 18:00:00,0.0,443759.78710528393,1,18
2019-01-01 19:00:00,0.0,512784.95481577265,1,19
2019-01-01 20:00:00,0.0,584806.7172394159,1,20
2019-01-01 21:00:00,0.0,730625.2649658162,1,21
2019-01-01 22:00:00,0.0,814845.4926853472,1,22
2019-01-01 23:00:00,0.0,936183.675128984,1,23
2019-01-02 00:00:00,0.0,1147903.5180553254,2,0
2019-01-02 01:00:00,0.0,1291729.7297519932,2,1
2019-01-02 02:00:00,0.0,1199147.5457330362,2,2
2019-01-02 03:00:00,0.0,1050124.1395665503,2,3
2019-01-02 04:00:00,0.0,1107600.6398113768,2,4
2019-01-02 05:00:00,0.0,1344639.8250230087,2,5
2019-01-02 06:00:00,0.0,1503572.5316104959,2,6
2019-01-02 07:00:00,0.0,1604367.8954147466,2,7
2019-01-02 08:00:00,0.0,1672965.5922529895,2,8
2019-01-02 09:00:00,2.3539554534937652,1671880.2072145974,2,9
2019-01-02 10:00:00,4.76754515527121,1554292.236964111,2,10
2019-01-02 11:00:00,5.408757833358281,1475565.4964701103,2,11
2019-01-02 12:00:00,14.295296500214304,1413842.6955021285,2,12
2019-01-02 13:00:00,15.375599748507032,1273655.5626631973,2,13
2019-01-02 14:00:00,17.650904791931872,1314663.0533921446,2,14
2019-01-02 15:00:00,9.531294391809539,1526913.9893104408,2,15
2019-01-02 16:00:00,4.236905501879875,1536908.6230685115,2,16
2019-01-02 17:00:00,0.0,1477907.277612458,2,17
2019-01-02 18:00:00,0.0,1777041.0495403986,2,18
2019-01-02 19:00:00,0.0,1799323.2634496216,2,19
2019-01-02 20:00:00,0.0,1800000.0,2,20
