,wind_speed,dni
2019-01-01 00:00:00,6.5,0.0
2019-01-01 01:00:00,9.0,0.0
2019-01-01 02:00:00,12.5,0.0
2019-01-01 03:00:00,14.0,0.0
2019-01-01 04:00:00,14.0,0.0
2019-01-01 05:00:00,13.0,0.0
2019-01-01 06:00:00,12.0,0.0
2019-01-01 07:00:00,11.5,0.0
2019-01-01 08:00:00,11.0,0.0
2019-01-01 09:00:00,11.5,0.0
2019-01-01 10:00:00,13.5,0.0
2019-01-01 11:00:00,15.0,0.0
2019-01-01 12:00:00,16.0,0.0
2019-01-01 13:00:00,16.0,0.0
2019-01-01 14:00:00,15.5,0.0
2019-01-01 15:00:00,17.5,291.5
2019-01-01 16:00:00,31.5,841.0
2019-01-01 17:00:00,50.0,962.0
2019-01-01 18:00:00,56.0,1011.0
2019-01-01 19:00:00,55.5,1026.5
2019-01-01 20:00:00,54.5,1018.0
2019-01-01 21:00:00,53.0,993.0
2019-01-01 22:00:00,47.5,947.5
2019-01-01 23:00:00,40.0,826.5
2019-01-02 00:00:00,20.5,493.0
2019-01-02 01:00:00,17.5,0.0
2019-01-02 02:00:00,17.0,0.0
2019-01-02 03:00:00,16.0,0.0
2019-01-02 04:00:00,15.5,0.0
2019-01-02 05:00:00,15.0,0.0
2019-01-02 06:00:00,15.0,0.0
2019-01-02 07:00:00,15.0,0.0
2019-01-02 08:00:00,15.0,0.0
2019-01-02 09:00:00,14.0,0.0
2019-01-02 10:00:00,15.0,0.0
2019-01-02 11:00:00,16.0,0.0
2019-01-02 12:00:00,17.0,0.0
2019-01-02 13:00:00,17.0,0.0
2019-01-02 14:00:00,16.5,0.0
2019-01-02 15:00:00,15.5,326.5
2019-01-02 16:00:00,21.0,862.0
2019-01-02 17:00:00,34.0,978.5
2019-01-02 18:00:00,39.5,1025.0
2019-01-02 19:00:00,41.0,1043.5
2019-01-02 20:00:00,40.5,1035.0
2019-01-02 21:00:00,37.0,993.0
2019-01-02 22:00:00,30.5,929.5
2019-01-02 23:00:00,20.0,801.5
2019-01-03 00:00:00,11.0,458.5
2019-01-03 01:00:00,10.0,0.0
2019-01-03 02:00:00,9.5,0.0
2019-01-03 03:00:00,9.0,0.0
2019-01-03 04:00:00,9.0,0.0
2019-01-03 05:00:00,10.0,0.0
2019-01-03 06:00:00,11.0,0.0
2019-01-03 07:00:00,12.5,0.0
2019-01-03 08:00:00,13.5,0.0
2019-01-03 09:00:00,14.0,0.0
2019-01-03 10:00:00,13.5,0.0
2019-01-03 11:00:00,12.5,0.0
2019-01-03 12:00:00,10.5,0.0
2019-01-03 13:00:00,8.5,0.0
2019-01-03 14:00:00,7.0,0.0
2019-01-03 15:00:00,7.5,0.5
2019-01-03 16:00:00,11.0,604.0
2019-01-03 17:00:00,16.5,980.0
2019-01-03 18:00:00,21.5,1029.0
2019-01-03 19:00:00,22.5,1051.5
2019-01-03 20:00:00,24.0,1052.0
2019-01-03 21:00:00,24.5,1029.0
2019-01-03 22:00:00,22.0,978.5
2019-01-03 23:00:00,15.0,869.0
2019-01-04 00:00:00,9.5,549.0
2019-01-04 01:00:00,7.5,0.0
2019-01-04 02:00:00,7.5,0.0
2019-01-04 03:00:00,9.0,0.0
2019-01-04 04:00:00,10.0,0.0
2019-01-04 05:00:00,10.0,0.0
2019-01-04 06:00:00,10.0,0.0
2019-01-04 07:00:00,10.5,0.0
2019-01-04 08:00:00,11.0,0.0
2019-01-04 09:00:00,9.5,0.0
2019-01-04 10:00:00,7.5,0.0
2019-01-04 11:00:00,6.0,0.0
2019-01-04 12:00:00,6.0,0.0
2019-01-04 13:00:00,6.0,0.0
2019-01-04 14:00:00,6.5,0.0
2019-01-04 15:00:00,9.5,174.5
2019-01-04 16:00:00,14.5,727.0
2019-01-04 17:00:00,17.5,960.5
2019-01-04 18:00:00,19.0,1008.5
2019-01-04 19:00:00,19.5,1032.0
2019-01-04 20:00:00,20.0,1027.5
2019-01-04 21:00:00,19.5,981.5
2019-01-04 22:00:00,16.0,911.0
2019-01-04 23:00:00,10.0,783.5
2019-01-05 00:00:00,8.5,446.0
2019-01-05 01:00:00,6.0,0.0
2019-01-05 02:00:00,4.0,0.0
2019-01-05 03:00:00,5.5,0.0
2019-01-05 04:00:00,6.0,0.0
2019-01-05 05:00:00,5.5,0.0
2019-01-05 06:00:00,5.0,0.0
2019-01-05 07:00:00,5.0,0.0
2019-01-05 08:00:00,5.0,0.0
2019-01-05 09:00:00,4.5,0.0
2019-01-05 10:00:00,4.0,0.0
2019-01-05 11:00:00,4.0,0.0
2019-01-05 12:00:00,4.0,0.0
2019-01-05 13:00:00,5.0,0.0
2019-01-05 14:00:00,5.0,0.0
2019-01-05 15:00:00,6.5,0.5
2019-01-05 16:00:00,8.0,45.0
2019-01-05 17:00:00,12.5,12.5
2019-01-05 18:00:00,21.0,30.5
2019-01-05 19:00:00,27.0,29.5
2019-01-05 20:00:00,25.5,50.5
2019-01-05 21:00:00,22.0,137.0
2019-01-05 22:00:00,17.5,82.0
2019-01-05 23:00:00,14.0,40.0
2019-01-06 00:00:00,10.0,3.0
2019-01-06 01:00:00,10.0,0.0
2019-01-06 02:00:00,10.0,0.0
2019-01-06 03:00:00,10.5,0.0
2019-01-06 04:00:00,12.0,0.0
2019-01-06 05:00:00,13.5,0.0
2019-01-06 06:00:00,14.5,0.0
2019-01-06 07:00:00,16.0,0.0
2019-01-06 08:00:00,16.0,0.0
2019-01-06 09:00:00,16.0,0.0
2019-01-06 10:00:00,16.5,0.0
2019-01-06 11:00:00,19.0,0.0
2019-01-06 12:00:00,23.5,0.0
2019-01-06 13:00:00,25.0,0.0
2019-01-06 14:00:00,26.0,0.0
2019-01-06 15:00:00,29.0,220.0
2019-01-06 16:00:00,36.0,256.0
2019-01-06 17:00:00,39.0,357.5
2019-01-06 18:00:00,40.0,361.5
2019-01-06 19:00:00,40.5,578.5
2019-01-06 20:00:00,41.0,758.0
2019-01-06 21:00:00,40.0,389.0
2019-01-06 22:00:00,38.5,461.5
2019-01-06 23:00:00,35.0,622.5
2019-01-07 00:00:00,21.0,283.0
2019-01-07 01:00:00,21.0,16.0
2019-01-07 02:00:00,22.0,0.0
2019-01-07 03:00:00,22.0,0.0
2019-01-07 04:00:00,21.0,0.0
2019-01-07 05:00:00,21.0,0.0
2019-01-07 06:00:00,20.0,0.0
2019-01-07 07:00:00,19.5,0.0
2019-01-07 08:00:00,18.5,0.0
2019-01-07 09:00:00,17.5,0.0
2019-01-07 10:00:00,15.5,0.0
2019-01-07 11:00:00,14.5,0.0
2019-01-07 12:00:00,13.0,0.0
2019-01-07 13:00:00,12.0,0.0
2019-01-07 14:00:00,11.5,0.0
2019-01-07 15:00:00,12.5,350.5
2019-01-07 16:00:00,15.5,782.5
2019-01-07 17:00:00,13.5,912.5
2019-01-07 18:00:00,12.0,959.0
2019-01-07 19:00:00,12.5,981.5
2019-01-07 20:00:00,14.5,981.5
2019-01-07 21:00:00,17.5,964.5
2019-01-07 22:00:00,19.0,917.0
2019-01-07 23:00:00,20.0,811.5
2019-01-08 00:00:00,10.5,535.5
2019-01-08 01:00:00,10.0,18.0
2019-01-08 02:00:00,8.5,0.0
2019-01-08 03:00:00,7.0,0.0
2019-01-08 04:00:00,7.5,0.0
2019-01-08 05:00:00,9.5,0.0
2019-01-08 06:00:00,11.5,0.0
2019-01-08 07:00:00,13.0,0.0
2019-01-08 08:00:00,14.0,0.0
2019-01-08 09:00:00,15.0,0.0
2019-01-08 10:00:00,15.5,0.0
2019-01-08 11:00:00,16.0,0.0
2019-01-08 12:00:00,16.0,0.0
2019-01-08 13:00:00,16.0,0.0
2019-01-08 14:00:00,15.5,0.0
2019-01-08 15:00:00,14.5,35.5
2019-01-08 16:00:00,17.5,297.0
2019-01-08 17:00:00,24.5,746.5
2019-01-08 18:00:00,24.0,927.5
2019-01-08 19:00:00,19.5,926.5
2019-01-08 20:00:00,15.5,793.5
2019-01-08 21:00:00,14.0,599.0
2019-01-08 22:00:00,12.0,749.5
2019-01-08 23:00:00,9.0,486.5
2019-01-09 00:00:00,8.0,352.5
2019-01-09 01:00:00,9.0,1.5
2019-01-09 02:00:00,8.0,0.0
2019-01-09 03:00:00,6.5,0.0
2019-01-09 04:00:00,4.5,0.0
2019-01-09 05:00:00,3.5,0.0
2019-01-09 06:00:00,5.5,0.0
2019-01-09 07:00:00,8.0,0.0
2019-01-09 08:00:00,9.5,0.0
2019-01-09 09:00:00,10.0,0.0
2019-01-09 10:00:00,10.0,0.0
2019-01-09 11:00:00,10.0,0.0
2019-01-09 12:00:00,10.5,0.0
2019-01-09 13:00:00,11.0,0.0
2019-01-09 14:00:00,11.5,0.0
2019-01-09 15:00:00,10.5,225.0
2019-01-09 16:00:00,11.5,792.5
2019-01-09 17:00:00,6.5,928.5
2019-01-09 18:00:00,3.5,985.5
2019-01-09 19:00:00,6.5,1012.5
2019-01-09 20:00:00,8.5,1018.5
2019-01-09 21:00:00,10.5,998.5
2019-01-09 22:00:00,9.0,950.5
2019-01-09 23:00:00,6.0,473.5
2019-01-10 00:00:00,6.0,184.5
2019-01-10 01:00:00,9.5,1.5
2019-01-10 02:00:00,13.5,0.0
2019-01-10 03:00:00,15.0,0.0
2019-01-10 04:00:00,15.5,0.0
2019-01-10 05:00:00,14.5,0.0
2019-01-10 06:00:00,13.5,0.0
2019-01-10 07:00:00,12.5,0.0
2019-01-10 08:00:00,12.5,0.0
2019-01-10 09:00:00,14.0,0.0
2019-01-10 10:00:00,16.5,0.0
2019-01-10 11:00:00,19.0,0.0
2019-01-10 12:00:00,20.0,0.0
2019-01-10 13:00:00,20.5,0.0
2019-01-10 14:00:00,20.5,0.0
2019-01-10 15:00:00,23.0,115.0
2019-01-10 16:00:00,27.5,671.0
2019-01-10 17:00:00,23.5,909.5
2019-01-10 18:00:00,18.5,973.0
2019-01-10 19:00:00,14.0,1001.0
2019-01-10 20:00:00,11.5,1007.5
2019-01-10 21:00:00,10.0,986.0
2019-01-10 22:00:00,8.5,935.5
2019-01-10 23:00:00,5.0,830.5
2019-01-11 00:00:00,5.5,556.0
2019-01-11 01:00:00,7.5,19.5
2019-01-11 02:00:00,9.5,0.0
2019-01-11 03:00:00,10.0,0.0
2019-01-11 04:00:00,11.0,0.0
2019-01-11 05:00:00,11.0,0.0
2019-01-11 06:00:00,10.5,0.0
2019-01-11 07:00:00,10.0,0.0
2019-01-11 08:00:00,10.0,0.0
2019-01-11 09:00:00,10.0,0.0
2019-01-11 10:00:00,10.0,0.0
2019-01-11 11:00:00,9.5,0.0
2019-01-11 12:00:00,9.0,0.0
2019-01-11 13:00:00,8.5,0.0
2019-01-11 14:00:00,7.5,0.0
2019-01-11 15:00:00,6.5,18.5
2019-01-11 16:00:00,7.0,357.0
2019-01-11 17:00:00,10.0,502.5
2019-01-11 18:00:00,20.0,511.0
2019-01-11 19:00:00,23.0,508.5
2019-01-11 20:00:00,23.0,384.0
2019-01-11 21:00:00,22.5,401.0
2019-01-11 22:00:00,21.0,726.5
2019-01-11 23:00:00,17.0,372.5
2019-01-12 00:00:00,10.0,120.0
2019-01-12 01:00:00,10.0,5.5
2019-01-12 02:00:00,9.5,0.0
2019-01-12 03:00:00,7.5,0.0
2019-01-12 04:00:00,6.5,0.0
2019-01-12 05:00:00,6.0,0.0
2019-01-12 06:00:00,6.0,0.0
2019-01-12 07:00:00,7.0,0.0
2019-01-12 08:00:00,7.0,0.0
2019-01-12 09:00:00,7.0,0.0
2019-01-12 10:00:00,8.0,0.0
2019-01-12 11:00:00,7.5,0.0
2019-01-12 12:00:00,7.0,0.0
2019-01-12 13:00:00,8.0,0.0
2019-01-12 14:00:00,11.5,0.0
2019-01-12 15:00:00,14.0,14.5
2019-01-12 16:00:00,15.0,409.5
2019-01-12 17:00:00,12.5,461.5
2019-01-12 18:00:00,17.0,87.5
2019-01-12 19:00:00,20.0,180.5
2019-01-12 20:00:00,19.5,35.0
2019-01-12 21:00:00,17.0,13.0
2019-01-12 22:00:00,13.5,119.0
2019-01-12 23:00:00,10.0,231.0
2019-01-13 00:00:00,5.0,249.5
2019-01-13 01:00:00,5.5,24.0
2019-01-13 02:00:00,8.0,0.0
2019-01-13 03:00:00,10.0,0.0
2019-01-13 04:00:00,10.5,0.0
2019-01-13 05:00:00,9.5,0.0
2019-01-13 06:00:00,8.5,0.0
2019-01-13 07:00:00,7.0,0.0
2019-01-13 08:00:00,7.0,0.0
2019-01-13 09:00:00,7.0,0.0
2019-01-13 10:00:00,7.0,0.0
2019-01-13 11:00:00,7.0,0.0
2019-01-13 12:00:00,8.0,0.0
2019-01-13 13:00:00,8.0,0.0
2019-01-13 14:00:00,6.5,0.0
2019-01-13 15:00:00,5.5,44.0
2019-01-13 16:00:00,9.0,107.5
2019-01-13 17:00:00,16.5,584.5
2019-01-13 18:00:00,22.0,608.0
2019-01-13 19:00:00,22.0,332.0
2019-01-13 20:00:00,21.0,191.0
2019-01-13 21:00:00,21.0,233.5
2019-01-13 22:00:00,20.0,137.0
2019-01-13 23:00:00,17.0,186.5
2019-01-14 00:00:00,9.0,122.5
2019-01-14 01:00:00,9.5,4.5
2019-01-14 02:00:00,11.0,0.0
2019-01-14 03:00:00,11.0,0.0
2019-01-14 04:00:00,11.0,0.0
2019-01-14 05:00:00,10.0,0.0
2019-01-14 06:00:00,9.0,0.0
2019-01-14 07:00:00,8.5,0.0
2019-01-14 08:00:00,7.0,0.0
2019-01-14 09:00:00,8.0,0.0
2019-01-14 10:00:00,10.5,0.0
2019-01-14 11:00:00,11.0,0.0
2019-01-14 12:00:00,12.0,0.0
2019-01-14 13:00:00,12.0,0.0
2019-01-14 14:00:00,13.0,0.0
2019-01-14 15:00:00,16.0,0.0
2019-01-14 16:00:00,25.0,1.0
2019-01-14 17:00:00,34.5,0.0
2019-01-14 18:00:00,37.5,0.0
2019-01-14 19:00:00,35.5,0.0
2019-01-14 20:00:00,32.0,0.0
2019-01-14 21:00:00,27.0,4.0
2019-01-14 22:00:00,19.5,0.0
2019-01-14 23:00:00,15.0,0.0
2019-01-15 00:00:00,15.0,0.0
2019-01-15 01:00:00,15.0,0.0
2019-01-15 02:00:00,15.0,0.0
2019-01-15 03:00:00,14.5,0.0
2019-01-15 04:00:00,12.5,0.0
2019-01-15 05:00:00,10.0,0.0
2019-01-15 06:00:00,7.0,0.0
2019-01-15 07:00:00,6.0,0.0
