Entity,Code,Year,Global average temperature anomaly relative to 1961-1990,Upper bound (95% confidence interval) of the annual temperature anomaly,Lower bound (95% confidence interval) of the annual temperature anomaly
Global,,1850,-0.41765878,-0.24611452,-0.589203
Global,,1851,-0.2333498,-0.054831687,-0.41186792
Global,,1852,-0.22939907,-0.04941572,-0.40938243
Global,,1853,-0.27035445,-0.110699534,-0.43000934
Global,,1854,-0.29163003,-0.15043613,-0.43282393
Global,,1855,-0.2969512,-0.15454465,-0.43935776
Global,,1856,-0.32035372,-0.1726142,-0.46809322
Global,,1857,-0.46723005,-0.31813794,-0.61632216
Global,,1858,-0.3887657,-0.24064532,-0.53688604
Global,,1859,-0.28119546,-0.13854107,-0.42384982
Global,,1860,-0.39016518,-0.24135375,-0.5389766
Global,,1861,-0.42927712,-0.26132414,-0.5972301
Global,,1862,-0.53639776,-0.36908585,-0.7037096
Global,,1863,-0.3443432,-0.1545219,-0.5341645
Global,,1864,-0.4654367,-0.282776,-0.6480974
Global,,1865,-0.33258784,-0.14052312,-0.5246526
Global,,1866,-0.34126064,-0.16068307,-0.52183825
Global,,1867,-0.35696334,-0.16086453,-0.55306214
Global,,1868,-0.35196072,-0.17426313,-0.52965826
Global,,1869,-0.31657043,-0.15671812,-0.47642276
Global,,1870,-0.32789087,-0.18710826,-0.46867347
Global,,1871,-0.3685807,-0.22301209,-0.5141493
Global,,1872,-0.32804197,-0.19300064,-0.4630833
Global,,1873,-0.34133235,-0.21012507,-0.4725396
Global,,1874,-0.3732512,-0.2393598,-0.5071426
Global,,1875,-0.37562594,-0.23721085,-0.514041
Global,,1876,-0.42410994,-0.28534868,-0.56287116
Global,,1877,-0.101108834,0.027602348,-0.22982001
Global,,1878,-0.011315193,0.10858219,-0.13121258
Global,,1879,-0.30363432,-0.1732043,-0.43406433
Global,,1880,-0.31583208,-0.19151321,-0.44015095
Global,,1881,-0.23224552,-0.10655605,-0.35793498
Global,,1882,-0.29553008,-0.17091006,-0.4201501
Global,,1883,-0.3464744,-0.23213111,-0.4608177
Global,,1884,-0.49232006,-0.38197154,-0.6026686
Global,,1885,-0.47112358,-0.35917896,-0.5830682
Global,,1886,-0.42090362,-0.31926903,-0.5225382
Global,,1887,-0.49878576,-0.3810117,-0.61655986
Global,,1888,-0.37937889,-0.265434,-0.49332377
Global,,1889,-0.24989556,-0.12757017,-0.37222093
Global,,1890,-0.50685817,-0.3813068,-0.6324095
Global,,1891,-0.40131494,-0.26525995,-0.5373699
Global,,1892,-0.5075585,-0.3707885,-0.64432853
Global,,1893,-0.49461925,-0.35770702,-0.6315314
Global,,1894,-0.48376393,-0.34195974,-0.6255681
Global,,1895,-0.4487516,-0.3154826,-0.58202064
Global,,1896,-0.28400728,-0.15061308,-0.4174015
Global,,1897,-0.25980017,-0.12107607,-0.39852425
Global,,1898,-0.48579213,-0.35393503,-0.6176492
Global,,1899,-0.35543364,-0.22447036,-0.48639694
Global,,1900,-0.23447904,-0.10199049,-0.3669676
Global,,1901,-0.29342857,-0.15718324,-0.42967388
Global,,1902,-0.43898427,-0.30254042,-0.5754281
Global,,1903,-0.5333264,-0.40583345,-0.66081935
Global,,1904,-0.5975614,-0.46629035,-0.7288325
Global,,1905,-0.40775132,-0.28047356,-0.5350291
Global,,1906,-0.3191393,-0.18775477,-0.45052385
Global,,1907,-0.5041577,-0.38203365,-0.6262818
Global,,1908,-0.5138707,-0.3902612,-0.63748026
Global,,1909,-0.5357649,-0.41890016,-0.6526296
Global,,1910,-0.5310242,-0.40636164,-0.6556868
Global,,1911,-0.5392051,-0.4161705,-0.66223973
Global,,1912,-0.47567302,-0.36201498,-0.5893311
Global,,1913,-0.46715254,-0.34492958,-0.5893755
Global,,1914,-0.2625924,-0.1424214,-0.38276345
Global,,1915,-0.19184391,-0.06172589,-0.32196194
Global,,1916,-0.42020997,-0.28152588,-0.5588941
Global,,1917,-0.54301953,-0.3939199,-0.6921192
Global,,1918,-0.42458433,-0.26718682,-0.58198184
Global,,1919,-0.32551822,-0.1695783,-0.48145813
Global,,1920,-0.2985808,-0.14856121,-0.44860035
Global,,1921,-0.24067703,-0.09960067,-0.38175339
Global,,1922,-0.33922812,-0.21235302,-0.46610323
Global,,1923,-0.31793055,-0.1916881,-0.444173
Global,,1924,-0.3120622,-0.18529275,-0.4388317
Global,,1925,-0.28242525,-0.15007503,-0.4147755
Global,,1926,-0.12283547,0.006976739,-0.25264767
Global,,1927,-0.22940508,-0.10745319,-0.35135695
Global,,1928,-0.20676155,-0.074705064,-0.33881804
Global,,1929,-0.39275664,-0.25894582,-0.52656746
Global,,1930,-0.1768054,-0.06319936,-0.29041144
Global,,1931,-0.10339768,0.0058962475,-0.2126916
Global,,1932,-0.14546166,-0.0389682,-0.25195515
Global,,1933,-0.32234442,-0.21758842,-0.4271004
Global,,1934,-0.17433685,-0.07466974,-0.27400395
Global,,1935,-0.20605922,-0.10862111,-0.30349734
Global,,1936,-0.16952093,-0.07552261,-0.26351926
Global,,1937,-0.01919893,0.08136089,-0.11975875
Global,,1938,-0.012200732,0.08590227,-0.11030374
Global,,1939,-0.040797167,0.065110326,-0.14670466
Global,,1940,0.07593584,0.19382134,-0.04194966
Global,,1941,0.038129337,0.23851255,-0.16225387
Global,,1942,0.0014060909,0.19802457,-0.1952124
Global,,1943,0.0064140745,0.21241911,-0.19959097
