,dni,dhi,wind_speed,ghi,air_temperature,dew_point,relative_humidity,surface_pressure
"01/01/2016, 12:00:00 AM",443.0,29.0,1.3,81.0,13.5,2.0,53.245,1010.0
"01/01/2016, 01:00:00 AM",0.0,0.0,1.25,0.0,12.5,2.0,55.915,1010.0
"01/01/2016, 02:00:00 AM",0.0,0.0,1.2,0.0,11.5,2.0,58.255,1010.0
"01/01/2016, 03:00:00 AM",0.0,0.0,1.2,0.0,11.0,2.0,60.085,1010.0
"01/01/2016, 04:00:00 AM",0.0,0.0,1.35,0.0,10.5,2.0,61.675,1010.0
"01/01/2016, 05:00:00 AM",0.0,0.0,1.7,0.0,10.0,1.0,62.99,1010.0
"01/01/2016, 06:00:00 AM",0.0,0.0,2.1,0.0,10.0,1.0,64.095,1010.0
"01/01/2016, 07:00:00 AM",0.0,0.0,2.55,0.0,9.5,1.0,63.315,1010.0
"01/01/2016, 08:00:00 AM",0.0,0.0,2.75,0.0,9.0,1.0,62.325,1010.0
"01/01/2016, 09:00:00 AM",0.0,0.0,2.95,0.0,9.0,0.0,61.035,1010.0
"01/01/2016, 10:00:00 AM",0.0,0.0,3.15,0.0,9.0,0.0,59.93,1010.0
"01/01/2016, 11:00:00 AM",0.0,0.0,3.35,0.0,9.0,0.0,59.525,1010.0
"01/01/2016, 12:00:00 PM",0.0,0.0,3.65,0.0,9.0,0.0,59.795,1010.0
"01/01/2016, 01:00:00 PM",0.0,0.0,3.85,0.0,9.0,0.0,60.635,1010.0
"01/01/2016, 02:00:00 PM",0.0,0.0,4.2,0.0,9.0,1.0,61.93,1010.0
"01/01/2016, 03:00:00 PM",225.5,16.0,4.7,40.5,10.5,1.0,58.655,1010.0
"01/01/2016, 04:00:00 PM",672.5,52.5,5.3,215.5,12.5,1.0,52.745,1015.0
"01/01/2016, 05:00:00 PM",814.5,68.0,5.1,383.5,14.0,1.0,48.035,1020.0
"01/01/2016, 06:00:00 PM",894.5,71.5,4.35,513.0,15.0,2.0,45.45,1015.0
"01/01/2016, 07:00:00 PM",919.0,76.5,3.6,583.0,16.0,2.0,44.12,1010.0
"01/01/2016, 08:00:00 PM",918.5,77.5,2.8,589.5,17.0,3.0,45.555,1010.0
"01/01/2016, 09:00:00 PM",891.5,75.5,1.95,532.0,17.0,3.0,45.52,1010.0
"01/01/2016, 10:00:00 PM",831.0,69.5,1.05,416.5,16.5,4.0,47.89,1010.0
"01/01/2016, 11:00:00 PM",705.5,57.5,0.4,256.0,15.5,4.0,52.43,1010.0
"01/02/2016, 12:00:00 AM",405.0,31.5,0.55,80.0,14.5,5.0,62.685,1010.0
"01/02/2016, 01:00:00 AM",0.0,0.0,1.2,0.0,13.5,4.0,64.045,1010.0
