Category,Defined at,trigger,TASK,DEPENDENT ,DERIVED,COMMODITY,OPERATION,SPATIAL,variable,parameter,associated,condition 
TRADE,Resource,buy,Buy ,,,Resource,,Location,,,,
,Resource,sell,Sell,,,Resource,,Location,,,,
,Resource,import,Import,,,Resource,,Location,,,,
,Resource,export,Export,,,Resource,,Location,,,,
,Resource,consume,Consume,,,Resource,Process,Location,,,,
,Resource,dispatch,Dispatch,,,Resource,Process,Location,,,,
,Resource,charge,Charge,,,Resource,Storage,Location,,,,
,Resource,discharge,Discharge,,,Resource,Storage,Location,,,,
,Resource,ship,Ship,,,Resource,Transit,Linkage,,,,
,Resource,deliver,Deliver,,,Resource,Transit,Linkage ,,,,
,Material,use,Use,,,Material,"Process, Storage,Transit ","Location, Linkage",,,,
,"Location, Linkage",land_avail ,Acquire,,,Land,"Process, Storage,Transit ","Location, Linkage",Acquired,Avail,,BIND
,,,,,,,,,,,,
OPERATE,Process,produce,Produce,,,Resource,Process,Location,,,,
,Storage,store,Store,,,Resource,Storage,Location,,,,
,Transit,transport,Transport,,,Resource,Transit,Linkage,,,,
,,,,,,,,,,,,
TRANSACT,Resource,buy_price,Spend,Buy,Cash,Resource,,Location,,,,
,Resource,sell_price,Earn,Sell,Cash,Cash,,Location,,,,
,Resource,credit,Credit,Produce,Cash,Resource,Process,Location,,,,
,"Process, Storage, Transit",vopex,Vopex,"Produce, Store, Transport",Cash,Resource,"Process, Storage, Transit","Location, Linkage",,,,
,,,,,,,,,,,,
INVEST,"Process, Storage, Transit",capex,Capex,,Cash,Capacity,"Process, Storage, Transit","Location, Linkage",,,,
,"Process, Storage, Transit",fopex,Fopex,,Cash,Capacity,"Process, Storage, Transit","Location, Linkage",,,,
,"Process, Storage, Transit",incidental,Incidental ,,Cash,,"Process, Storage, Transit","Location, Linkage",,,,
,"Location, Linkage",land_cost,Purchase,Acquire,Cash,Land,"Process, Storage, Transit","Location, Linkage",Purchased,Cost,Aquired,
,,,,,,,,,,,,
INCUR,Resource,penalty,Penalty,Sell,Cash,Resource,,Location,,,,
,,,,,,,,,,,,
ABSTRACT ,"Process, Storage, Transit",capacity,Capacity,,,,,,,,,
